;Colonne1;mercredi 22 avril 2020;jeudi 23 avril 2020;vendredi 24 avril 2020;samedi 25 avril 2020;dimanche 26 avril 2020;lundi 27 avril 2020;mardi 28 avril 2020;mercredi 29 avril 2020;jeudi 30 avril 2020;vendredi 1 mai 2020;samedi 2 mai 2020;dimanche 3 mai 2020;lundi 4 mai 2020;mardi 5 mai 2020;mercredi 6 mai 2020;jeudi 7 mai 2020;vendredi 8 mai 2020;samedi 9 mai 2020;dimanche 10 mai 2020;lundi 11 mai 2020;mardi 12 mai 2020;mercredi 13 mai 2020;jeudi 14 mai 2020;vendredi 15 mai 2020;samedi 16 mai 2020;dimanche 17 mai 2020;lundi 18 mai 2020;mardi 19 mai 2020;mercredi 20 mai 2020;jeudi 21 mai 2020;vendredi 22 mai 2020;samedi 23 mai 2020;dimanche 24 mai 2020;lundi 25 mai 2020;mardi 26 mai 2020;mercredi 27 mai 2020;jeudi 28 mai 2020;vendredi 29 mai 2020;samedi 30 mai 2020;dimanche 31 mai 2020;lundi 1 juin 2020;mardi 2 juin 2020;mercredi 3 juin 2020;jeudi 4 juin 2020;vendredi 5 juin 2020;samedi 6 juin 2020;dimanche 7 juin 2020;lundi 8 juin 2020;mardi 9 juin 2020;mercredi 10 juin 2020;jeudi 11 juin 2020;vendredi 12 juin 2020;samedi 13 juin 2020;dimanche 14 juin 2020;lundi 15 juin 2020;mardi 16 juin 2020;mercredi 17 juin 2020;jeudi 18 juin 2020;vendredi 19 juin 2020;samedi 20 juin 2020;dimanche 21 juin 2020;lundi 22 juin 2020;mardi 23 juin 2020;mercredi 24 juin 2020;jeudi 25 juin 2020
Abdo croisée;;;1;;1;;;1;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abdo 45;;;1;;1;;;1;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abdo main;;;1;;1;;;1;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abdo kick;;;1;;1;;;1;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abdo side;;;1;;1;;;1;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Squat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bicep curl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rotation interne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rotation externe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Élévation épaule;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Protraction homoplate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tirade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pushup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flexion abduction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scaption resistée;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
